ESTILO;UNIDADES;DEPARTAMENTO
115253;12;603
115254;16;603
115256;11;603
115257;8;603
115258;74;603
115259;32;603
115260;2;603
115262;19;603
115265;30;603
115266;1;603
115267;10;603
115268;3;603
115271;12;603
115272;2;603
115273;2;603
115275;11;603
115276;11;603
115277;25;603
115278;3;603
115279;32;603
115280;8;603
115281;3;603
115282;31;603
115283;6;603
115285;66;603
115286;51;603
115287;13;603
115289;29;603
115290;44;603
115291;12;603
115292;45;603
115293;22;603
115294;5;603
115295;64;603
115296;174;603
115297;47;603
115298;85;603
115299;125;603
115300;44;603
115302;11;603
115303;5;603
115304;6;603
115305;9;603
115306;4;603
115309;2;603
115311;2;603
115312;1;603
115314;16;603
115315;18;603
115316;38;603
115317;5;603
115318;22;603
115319;31;603
115320;24;603
115321;21;603
115322;128;603
115323;1;603
115324;1;603
115325;37;603
115326;13;603
115327;53;603
115328;11;603
115329;1;603
115330;90;603
115331;40;603
115334;20;603
115335;220;603
115336;60;603
115337;56;603
115338;20;603
115339;17;603
115341;84;603
115342;1;603
115343;19;603
115347;20;660
115349;46;660
115368;5;700
115370;10;700
115371;16;644
115372;10;700
115373;29;721
115374;10;700
115375;28;721
115377;19;721
115378;9;700
115379;20;721
115380;24;721
115381;10;700
115382;80;721
115384;10;700
115385;7;700
115386;4;742
115387;5;700
115388;3;742
115390;6;742
115410;15;667
115567;21;603
115568;18;603
115569;8;603
115630;1;667
115643;1;667
115645;7;667
115657;5;667
115658;1;667
115659;13;667
115671;6;667
115675;5;644
115676;776;662
115677;30;662
115678;9;662
115681;1;669
115683;1;669
115685;31;661
115690;63;660
115691;1;669
115693;1;669
115694;1;669
115697;1;669
115698;1;669
115703;3;669
115705;3;669
115721;42;662
115726;24;662
115727;1;644
115728;6;644
115730;18;644
115731;32;644
115732;3;644
115733;144;662
115734;13;644
115735;252;662
115736;38;644
115737;1;644
115738;18;662
115741;11;644
115746;4;700
115748;15;700
115749;154;700
115751;214;700
115752;109;700
115755;10;700
115756;2;700
115757;5;700
115758;10;700
115759;10;700
115761;15;700
115764;4;700
115766;6;700
115768;50;669
115769;50;669
115772;3;669
115773;5;669
115774;25;669
115775;35;669
115776;49;669
115777;12;669
115778;50;669
115779;4;669
115781;5;669
115786;4;644
115787;50;669
115788;1;670
115790;4;670
115791;200;722
115798;2;603
115799;33;603
115805;1;644
115806;5;741
115818;7;741
115823;5;602
115824;4;602
115826;4;602
115827;7;602
115828;15;602
115830;3;602
115831;2;602
115832;2;602
115833;10;602
115834;1;602
115835;5;602
115836;3;602
115837;4;602
115838;5;602
115839;4;602
115840;4;602
115841;2;602
115844;18;670
115849;8;670
115852;24;661
115858;62;660
115860;21;662
115862;23;662
115863;57;721
115865;17;721
115880;5;642
115881;42;642
115882;37;642
115883;7;642
115884;12;642
115885;17;642
115886;20;642
115887;140;642
115889;18;642
115890;43;642
115891;21;642
115892;56;642
115893;11;642
115894;39;642
115895;22;642
115896;11;642
115897;7;642
115898;24;642
115899;24;642
115900;24;642
115901;1;642
115902;33;642
115903;28;642
115904;87;642
115905;22;642
115906;19;642
115907;48;642
115908;6;649
115910;34;642
115912;24;642
115913;23;642
115914;58;642
115916;24;642
115917;82;642
115919;22;642
115920;36;642
115921;46;642
115922;38;642
115923;28;642
115924;62;642
115925;53;642
115926;26;642
115927;19;642
115928;7;642
115929;4;642
115930;3;642
115931;52;642
115932;73;642
115933;8;642
115934;28;642
115936;73;642
115937;37;642
115938;35;642
115939;42;642
115942;12;642
115943;23;642
115944;12;642
115945;45;642
115946;47;642
115947;76;642
115948;42;642
115949;17;642
115950;17;642
115951;41;642
115952;24;642
115954;20;643
115955;13;643
115956;20;643
